query,target,uniprot_id,bits,evalue,fident,database
Q8DSC5,AF-P9WHY0-F1-model_v4,P9WHY0,124,0.5233,0.215,results_afdb_swissprot
Q8DV32,AF-O34330-F1-model_v4,O34330,121,0.2218,0.043,results_afdb_swissprot
Q8DSE2,AF-Q58438-F1-model_v4,Q58438,120,0.7959,0.148,results_afdb_swissprot
Q8DRZ9,AF-P42070-F1-model_v4,P42070,118,0.165,0.087,results_afdb_swissprot
Q8DSL8,AF-Q2FV52-F1-model_v4,Q2FV52,116,0.2445,0.159,results_afdb_swissprot
Q8DUT9,AF-C3LFJ8-F1-model_v4,C3LFJ8,115,0.637,0.156,results_afdb_swissprot
Q8DUU6,AF-Q57JJ4-F1-model_v4,Q57JJ4,114,0.1866,0.125,results_afdb_swissprot
Q8DWI8,AF-O54831-F1-model_v4,O54831,112,0.5975,0.115,results_afdb_swissprot
Q8DSK8,AF-B9M417-F1-model_v4,B9M417,110,1.266,0.101,results_afdb_swissprot
Q8DU92,AF-P50594-F1-model_v4,P50594,109,0.2324,0.132,results_afdb_swissprot
Q8DSI2,AF-Q9U3R0-F1-model_v4,Q9U3R0,108,0.8941,0.078,results_afdb_swissprot
Q8DRZ2,AF-Q9M5B3-F1-model_v4,Q9M5B3,106,0.6741,0.094,results_afdb_swissprot
Q8DVD2,AF-Q5AP97-F1-model_v4,Q5AP97,106,0.5719,0.068,results_afdb_swissprot
Q8DTF6,AF-Q92M53-F1-model_v4,Q92M53,106,1.093,0.109,results_afdb_swissprot
Q8DTW8,AF-Q6FEM3-F1-model_v4,Q6FEM3,106,0.2739,0.205,results_afdb_swissprot
Q8DUU9,AF-P0DUH6-F1-model_v4,P0DUH6,105,1.037,0.048,results_afdb_swissprot
Q8DUV3,AF-Q4J924-F1-model_v4,Q4J924,105,2.422,0.156,results_afdb_swissprot
Q8DVR6,AF-Q9RS64-F1-model_v4,Q9RS64,96,2.599,0.147,results_afdb_swissprot
Q8DT89,AF-A2BN51-F1-model_v4,A2BN51,94,1.52,0.145,results_afdb_swissprot
Q8DSD6,AF-P0DF39-F1-model_v4,P0DF39,93,1.615,0.081,results_afdb_swissprot
Q8DUD6,AF-P37787-F1-model_v4,P37787,92,0.9487,0.209,results_afdb_swissprot
Q8DVP0,AF-P53209-F1-model_v4,P53209,90,2.482,0.101,results_afdb_swissprot
Q8DSS9,AF-P82979-F1-model_v4,P82979,87,3.249,0.097,results_afdb_swissprot
Q8DTM6,AF-P15311-F1-model_v4,P15311,83,2.794,0.166,results_afdb_swissprot
Q8DV86,AF-Q7F239-F1-model_v4,Q7F239,83,2.762,0.133,results_afdb_swissprot
Q8DRX4,AF-P33790-F1-model_v4,P33790,82,3.382,0.126,results_afdb_swissprot
Q8DWA0,AF-Q5SSM3-F1-model_v4,Q5SSM3,81,3.954,0.105,results_afdb_swissprot
Q8DSR6,AF-O67637-F1-model_v4,O67637,80,5.32,0.061,results_afdb_swissprot
Q8DUX7,AF-Q8C0D7-F1-model_v4,Q8C0D7,80,2.385,0.119,results_afdb_swissprot
Q8DTW5,AF-Q14202-F1-model_v4,Q14202,79,3.349,0.104,results_afdb_swissprot
Q8DUX8,AF-P0AFN5-F1-model_v4,P0AFN5,79,2.075,0.113,results_afdb_swissprot
Q8DW70,AF-Q5R658-F1-model_v4,Q5R658,76,2.587,0.116,results_afdb_swissprot
Q8DT21,AF-Q6NI38-F1-model_v4,Q6NI38,74,2.521,0.141,results_afdb_swissprot
Q8DT85,AF-O13722-F1-model_v4,O13722,71,6.035,0.116,results_afdb_swissprot
Q8DUC6,AF-A4J5Q3-F1-model_v4,A4J5Q3,70,3.843,0.156,results_afdb_swissprot
Q8DUI7,AF-B9JB75-F1-model_v4,B9JB75,69,5.501,0.139,results_afdb_swissprot
Q8DW07,AF-Q9Y826-F1-model_v4,Q9Y826,64,8.796,0.116,results_afdb_swissprot
Q8DS98,AF-P58412-F1-model_v4,P58412,57,9.572,0.126,results_afdb_swissprot
Q8DUR3,AF-Q65XL5-F1-model_v4,Q65XL5,56,6.098,0.222,results_afdb_swissprot
Q8DSP3,AF-Q8CHM3-F1-model_v4,Q8CHM3,54,8.003,0.172,results_afdb_swissprot
Q8DUY0,AF-Q8DQ79-F1-model_v4,Q8DQ79,1917,4.4820000000000004e-36,0.054,results_afdb_proteome
Q8DTH6,AF-K0F257-F1-model_v4,K0F257,1577,1.351e-29,0.097,results_afdb_proteome
Q8DW46,AF-Q2FZ58-F1-model_v4,Q2FZ58,1574,6.572e-33,0.095,results_afdb_proteome
Q8DT37,AF-Q8DPV2-F1-model_v4,Q8DPV2,1397,1.236e-33,0.074,results_afdb_proteome
Q8DRV8,AF-A0A133CUC6-F1-model_v4,A0A133CUC6,1346,1.29e-23,0.052,results_afdb_proteome
Q8DWC5,AF-A0A0D2GZZ3-F1-model_v4,A0A0D2GZZ3,1253,1.075e-27,0.05,results_afdb_proteome
Q8DVS5,AF-Q8DQI7-F1-model_v4,Q8DQI7,1242,8.208e-29,0.062,results_afdb_proteome
Q8DVL0,AF-Q8DR56-F1-model_v4,Q8DR56,1202,1.46e-28,0.066,results_afdb_proteome
P34001,AF-Q8DRD9-F1-model_v4,Q8DRD9,1165,1.2540000000000001e-25,0.049,results_afdb_proteome
Q8DUW6,AF-A0A132P967-F1-model_v4,A0A132P967,1154,7.138e-25,0.057,results_afdb_proteome
Q8DW28,AF-Q8DQA0-F1-model_v4,Q8DQA0,1121,1.0469999999999998e-22,0.075,results_afdb_proteome
Q8DVH0,AF-A0A132ZI76-F1-model_v4,A0A132ZI76,1114,1.0570000000000001e-26,0.069,results_afdb_proteome
Q8DTF8,AF-A0A133CDI7-F1-model_v4,A0A133CDI7,1092,6.326e-24,0.049,results_afdb_proteome
Q8DVH1,AF-A0A132Z104-F1-model_v4,A0A132Z104,1057,6.866e-25,0.086,results_afdb_proteome
Q8DSF8,AF-Q8DNC5-F1-model_v4,Q8DNC5,1050,1.963e-23,0.066,results_afdb_proteome
Q8DTC5,AF-A0A133CN78-F1-model_v4,A0A133CN78,1007,5.34e-21,0.079,results_afdb_proteome
Q8DTP0,AF-Q8DQA0-F1-model_v4,Q8DQA0,988,3.7910000000000005e-20,0.065,results_afdb_proteome
Q8DUS0,AF-A0A133CP29-F1-model_v4,A0A133CP29,979,1.464e-19,0.065,results_afdb_proteome
Q8DT65,AF-A0A077ZGA1-F1-model_v4,A0A077ZGA1,971,1.166e-23,0.097,results_afdb_proteome
Q8DT50,AF-Q2FWZ2-F1-model_v4,Q2FWZ2,949,5.223e-23,0.072,results_afdb_proteome
Q8DTB0,AF-A0A132PAC4-F1-model_v4,A0A132PAC4,937,3.6999999999999995e-22,0.07,results_afdb_proteome
Q8DV05,AF-Q8DPG9-F1-model_v4,Q8DPG9,935,1.34e-16,0.073,results_afdb_proteome
Q8DUZ1,AF-K0ERC4-F1-model_v4,K0ERC4,905,3.283e-18,0.069,results_afdb_proteome
Q8DVA9,AF-Q8DPT4-F1-model_v4,Q8DPT4,905,3.1799999999999995e-22,0.07,results_afdb_proteome
Q8DTL4,AF-Q8CYX3-F1-model_v4,Q8CYX3,905,3.53e-21,0.062,results_afdb_proteome
Q8DUP2,AF-Q8DQF9-F1-model_v4,Q8DQF9,899,6.641000000000001e-20,0.092,results_afdb_proteome
Q8DU02,AF-Q8DPM8-F1-model_v4,Q8DPM8,891,5.966e-15,0.087,results_afdb_proteome
Q8DVT4,AF-Q9SZB3-F1-model_v4,Q9SZB3,889,2.5350000000000002e-21,0.091,results_afdb_proteome
Q8DU08,AF-Q8DQU9-F1-model_v4,Q8DQU9,888,8.365e-17,0.071,results_afdb_proteome
I6L8Y8,AF-Q329Z0-F1-model_v4,Q329Z0,883,3.866e-21,0.078,results_afdb_proteome
Q8DU59,AF-Q8CYK7-F1-model_v4,Q8CYK7,875,6.945e-21,0.038,results_afdb_proteome
Q8DSY3,AF-A0A077ZJN1-F1-model_v4,A0A077ZJN1,870,1.462e-19,0.055,results_afdb_proteome
Q8DVP5,AF-Q8DQ66-F1-model_v4,Q8DQ66,847,6.42e-21,0.097,results_afdb_proteome
Q8DV06,AF-Q8DPG8-F1-model_v4,Q8DPG8,845,2.391e-20,0.074,results_afdb_proteome
Q8DSI9,AF-A0A132ZFQ7-F1-model_v4,A0A132ZFQ7,835,4.335e-20,0.064,results_afdb_proteome
Q8DV84,AF-A0A133CR02-F1-model_v4,A0A133CR02,835,6.971000000000001e-20,0.082,results_afdb_proteome
Q8DWA2,AF-Q2FYK7-F1-model_v4,Q2FYK7,832,7.313000000000001e-20,0.119,results_afdb_proteome
Q8DW02,AF-Q8DNA1-F1-model_v4,Q8DNA1,821,1.046e-19,0.059,results_afdb_proteome
Q8DT79,AF-A0A0H3GN30-F1-model_v4,A0A0H3GN30,816,1.158e-17,0.078,results_afdb_proteome
I6L904,AF-K0EMK4-F1-model_v4,K0EMK4,799,4.592e-18,0.054,results_afdb_proteome
Q8DU45,AF-Q7CQV6-F1-model_v4,Q7CQV6,794,1.932e-19,0.089,results_afdb_proteome
Q8DUY7,AF-Q7CQV6-F1-model_v4,Q7CQV6,785,7.138e-19,0.078,results_afdb_proteome
Q8DUM0,AF-A0A132Z393-F1-model_v4,A0A132Z393,780,5.49e-19,0.063,results_afdb_proteome
Q8DUU7,AF-K0EUQ7-F1-model_v4,K0EUQ7,779,3.252e-18,0.064,results_afdb_proteome
Q8DT99,AF-Q8DNY4-F1-model_v4,Q8DNY4,776,6.443e-19,0.067,results_afdb_proteome
Q8DVI0,AF-Q8DQ66-F1-model_v4,Q8DQ66,771,1.91e-18,0.059,results_afdb_proteome
Q8DV77,AF-Q8DQG8-F1-model_v4,Q8DQG8,768,2.421e-15,0.061,results_afdb_proteome
Q8DS56,AF-Q8DN91-F1-model_v4,Q8DN91,760,3.751e-16,0.068,results_afdb_proteome
Q8DRW0,AF-Q8DN48-F1-model_v4,Q8DN48,757,9.849e-15,0.067,results_afdb_proteome
Q8DVR4,AF-Q8DR95-F1-model_v4,Q8DR95,746,3.12e-18,0.051,results_afdb_proteome
Q8DUQ3,AF-P40586-F1-model_v4,P40586,744,2.453e-17,0.073,results_afdb_proteome
Q8DSL6,AF-P38036-F1-model_v4,P38036,729,9.079e-13,0.07,results_afdb_proteome
Q8DS06,AF-Q8CYZ8-F1-model_v4,Q8CYZ8,726,4.33e-17,0.079,results_afdb_proteome
Q8DUY6,AF-Q8DQ66-F1-model_v4,Q8DQ66,724,2.077e-17,0.036,results_afdb_proteome
Q8DRW1,AF-A0A133CIX8-F1-model_v4,A0A133CIX8,721,5.193e-13,0.08,results_afdb_proteome
Q8DT82,AF-Q8CYQ4-F1-model_v4,Q8CYQ4,718,5.54e-16,0.077,results_afdb_proteome
Q8DVJ1,AF-Q8DMY9-F1-model_v4,Q8DMY9,713,1.543e-15,0.076,results_afdb_proteome
Q8DS09,AF-U7PZJ6-F1-model_v4,U7PZJ6,706,8.544e-17,0.094,results_afdb_proteome
Q8DTY8,AF-Q2G123-F1-model_v4,Q2G123,704,1.905e-17,0.056,results_afdb_proteome
Q8DSS2,AF-A0A132Z3H0-F1-model_v4,A0A132Z3H0,698,3.074e-16,0.056,results_afdb_proteome
Q8DSZ1,AF-X8F0V9-F1-model_v4,X8F0V9,697,1.204e-16,0.067,results_afdb_proteome
Q8DWJ6,AF-A0A133CK82-F1-model_v4,A0A133CK82,694,1.989e-15,0.086,results_afdb_proteome
Q8DTK1,AF-X8EYY5-F1-model_v4,X8EYY5,692,1.191e-14,0.072,results_afdb_proteome
Q8DVG3,AF-X8FHK5-F1-model_v4,X8FHK5,691,2.13e-16,0.064,results_afdb_proteome
Q8DVZ0,AF-A0A133CTF0-F1-model_v4,A0A133CTF0,682,8.104e-16,0.077,results_afdb_proteome
Q8DTU5,AF-P40194-F1-model_v4,P40194,672,2.944e-16,0.071,results_afdb_proteome
Q8DU68,AF-Q8CYU4-F1-model_v4,Q8CYU4,658,1.847e-13,0.06,results_afdb_proteome
Q8DTA5,AF-Q8DP47-F1-model_v4,Q8DP47,652,2.146e-10,0.07,results_afdb_proteome
Q8DTS3,AF-Q9I767-F1-model_v4,Q9I767,638,5.746e-15,0.07,results_afdb_proteome
Q8DW41,AF-Q4CQK8-F1-model_v4,Q4CQK8,637,3.411e-14,0.094,results_afdb_proteome
Q8DV34,AF-P0DM85-F1-model_v4,P0DM85,634,8.079e-11,0.073,results_afdb_proteome
Q8DU32,AF-Q8DQC6-F1-model_v4,Q8DQC6,628,1.823e-15,0.062,results_afdb_proteome
Q8DS10,AF-A0A133CFT8-F1-model_v4,A0A133CFT8,621,2.248e-11,0.052,results_afdb_proteome
Q8DVQ5,AF-Q8DQV8-F1-model_v4,Q8DQV8,621,2.099e-13,0.061,results_afdb_proteome
Q8DWG7,AF-K0F5F2-F1-model_v4,K0F5F2,616,4.013e-14,0.106,results_afdb_proteome
Q8DT98,AF-Q8DNY3-F1-model_v4,Q8DNY3,610,1.014e-13,0.076,results_afdb_proteome
Q8DUW7,AF-A0A077ZDA4-F1-model_v4,A0A077ZDA4,589,1.619e-12,0.06,results_afdb_proteome
Q8DVH9,AF-Q8CYQ0-F1-model_v4,Q8CYQ0,585,2.75e-12,0.073,results_afdb_proteome
Q8DU95,AF-A0A132P4N1-F1-model_v4,A0A132P4N1,584,3.004e-12,0.09,results_afdb_proteome
Q8DW21,AF-Q2FWN0-F1-model_v4,Q2FWN0,581,4.211e-13,0.085,results_afdb_proteome
Q8DSX3,AF-Q8DQ17-F1-model_v4,Q8DQ17,573,1.393e-12,0.068,results_afdb_proteome
Q8DU76,AF-Q2G2D6-F1-model_v4,Q2G2D6,570,7.251e-13,0.065,results_afdb_proteome
Q8DT94,AF-A0A133CDY6-F1-model_v4,A0A133CDY6,566,5.076e-13,0.045,results_afdb_proteome
Q8DVA5,AF-P9WIZ7-F1-model_v4,P9WIZ7,565,1.505e-10,0.042,results_afdb_proteome
Q8DVS0,AF-A0A132Z9U7-F1-model_v4,A0A132Z9U7,560,5.627e-13,0.046,results_afdb_proteome
Q8DU43,AF-Q8DPY8-F1-model_v4,Q8DPY8,559,5.812e-10,0.1,results_afdb_proteome
Q8DVY0,AF-Q9HXU4-F1-model_v4,Q9HXU4,554,2.213e-10,0.049,results_afdb_proteome
Q8DVV9,AF-A0A132ZJ33-F1-model_v4,A0A132ZJ33,554,6.425e-13,0.054,results_afdb_proteome
Q8DU18,AF-Q8DPA9-F1-model_v4,Q8DPA9,550,2.06e-12,0.082,results_afdb_proteome
Q8DUR0,AF-A0A0D2DNS2-F1-model_v4,A0A0D2DNS2,548,4.106e-12,0.072,results_afdb_proteome
Q8DTL2,AF-Q57544-F1-model_v4,Q57544,548,9.465e-13,0.08,results_afdb_proteome
Q8DW90,AF-A0A133CRX9-F1-model_v4,A0A133CRX9,543,2.614e-12,0.044,results_afdb_proteome
Q8DVZ1,AF-K0ESC8-F1-model_v4,K0ESC8,541,6.291e-10,0.062,results_afdb_proteome
Q8DWH6,AF-Q8DRD1-F1-model_v4,Q8DRD1,532,1.126e-12,0.055,results_afdb_proteome
Q8DTH5,AF-A0A0N4UCA9-F1-model_v4,A0A0N4UCA9,530,2.12e-12,0.084,results_afdb_proteome
Q8DVA8,AF-A0A132P2Q4-F1-model_v4,A0A132P2Q4,526,1.739e-11,0.085,results_afdb_proteome
Q8DVZ6,AF-P0A9J4-F1-model_v4,P0A9J4,523,1.548e-10,0.08,results_afdb_proteome
Q8DTY9,AF-P21829-F1-model_v4,P21829,522,5.63e-12,0.07,results_afdb_proteome
Q8DTQ1,AF-Q8DQE6-F1-model_v4,Q8DQE6,522,8.392e-12,0.052,results_afdb_proteome
Q8DV71,AF-K0EUS3-F1-model_v4,K0EUS3,521,2.097e-08,0.071,results_afdb_proteome
Q8DU66,AF-K0EIN7-F1-model_v4,K0EIN7,518,1.166e-11,0.068,results_afdb_proteome
Q8DSS3,AF-Q8DQP3-F1-model_v4,Q8DQP3,517,1.214e-12,0.055,results_afdb_proteome
Q8DRY1,AF-Q8CZ87-F1-model_v4,Q8CZ87,515,3.555e-08,0.076,results_afdb_proteome
Q8DVV8,AF-Q8DND7-F1-model_v4,Q8DND7,503,8.16e-12,0.11,results_afdb_proteome
Q8DUG6,AF-Q32K79-F1-model_v4,Q32K79,501,8.074e-12,0.069,results_afdb_proteome
Q8DSL5,AF-K0EU60-F1-model_v4,K0EU60,497,6.331e-10,0.097,results_afdb_proteome
Q8DUK1,AF-Q2G2L7-F1-model_v4,Q2G2L7,496,3.633e-11,0.071,results_afdb_proteome
Q8DU60,AF-Q8DP68-F1-model_v4,Q8DP68,494,2.236e-11,0.091,results_afdb_proteome
Q8DTE2,AF-Q8CYK7-F1-model_v4,Q8CYK7,493,1.314e-11,0.038,results_afdb_proteome
Q8DST1,AF-O55137-F1-model_v4,O55137,489,8.493e-11,0.07,results_afdb_proteome
Q8DS84,AF-Q4DRN6-F1-model_v4,Q4DRN6,484,5.062e-10,0.092,results_afdb_proteome
Q8DWD8,AF-Q8CYI9-F1-model_v4,Q8CYI9,484,1.24e-10,0.066,results_afdb_proteome
Q8DW89,AF-Q8DP68-F1-model_v4,Q8DP68,478,4e-11,0.062,results_afdb_proteome
Q8DT15,AF-Q8DQA6-F1-model_v4,Q8DQA6,478,6.597e-11,0.09,results_afdb_proteome
Q8DTT5,AF-O86222-F1-model_v4,O86222,475,3.518e-11,0.073,results_afdb_proteome
Q8DV76,AF-A0A0H3H219-F1-model_v4,A0A0H3H219,474,1.13e-09,0.108,results_afdb_proteome
Q8DT80,AF-A0A132P1Z9-F1-model_v4,A0A132P1Z9,472,2.203e-10,0.091,results_afdb_proteome
Q8DUA1,AF-Q8CYM9-F1-model_v4,Q8CYM9,472,4.501e-07,0.092,results_afdb_proteome
Q8DVR8,AF-A0A132P374-F1-model_v4,A0A132P374,466,2.554e-10,0.034,results_afdb_proteome
Q8DUJ6,AF-P06132-F1-model_v4,P06132,464,3.787e-09,0.077,results_afdb_proteome
Q8DVU2,AF-Q8ZK07-F1-model_v4,Q8ZK07,463,2.581e-10,0.067,results_afdb_proteome
Q8DSI7,AF-Q8DNQ7-F1-model_v4,Q8DNQ7,460,1.185e-07,0.102,results_afdb_proteome
Q8DU46,AF-Q8CYL4-F1-model_v4,Q8CYL4,458,4.179e-10,0.092,results_afdb_proteome
Q8DSI3,AF-Q8DNQ4-F1-model_v4,Q8DNQ4,458,7.327e-11,0.076,results_afdb_proteome
Q8DW94,AF-A0A132Z3R7-F1-model_v4,A0A132Z3R7,456,4.416e-08,0.084,results_afdb_proteome
Q8DU01,AF-Q8DPM7-F1-model_v4,Q8DPM7,450,1.644e-10,0.081,results_afdb_proteome
Q8DSR5,AF-A0A077ZGD8-F1-model_v4,A0A077ZGD8,446,3.068e-08,0.06,results_afdb_proteome
Q8DVR1,AF-Q8DNF8-F1-model_v4,Q8DNF8,443,3.491e-10,0.055,results_afdb_proteome
Q8DRR7,AF-A0A132P641-F1-model_v4,A0A132P641,442,1.082e-09,0.091,results_afdb_proteome
Q8DUV0,AF-A0A0H3GMK1-F1-model_v4,A0A0H3GMK1,435,1.479e-08,0.083,results_afdb_proteome
Q8DVZ4,AF-Q8DRN7-F1-model_v4,Q8DRN7,434,5.733e-10,0.057,results_afdb_proteome
Q8DTV3,AF-Q2FZS3-F1-model_v4,Q2FZS3,422,1.46e-08,0.088,results_afdb_proteome
Q8DTF4,AF-G3XD91-F1-model_v4,G3XD91,421,3.9e-09,0.07,results_afdb_proteome
Q8DUT3,AF-A0A132Z5H1-F1-model_v4,A0A132Z5H1,417,2.257e-07,0.092,results_afdb_proteome
Q8DTG8,AF-A0A077ZEU8-F1-model_v4,A0A077ZEU8,408,8.263e-09,0.087,results_afdb_proteome
Q8DUU4,AF-Q54KW1-F1-model_v4,Q54KW1,407,2.899e-08,0.125,results_afdb_proteome
Q8DU69,AF-Q8DPY9-F1-model_v4,Q8DPY9,403,6.057e-07,0.066,results_afdb_proteome
Q8DTT1,AF-Q8DPQ3-F1-model_v4,Q8DPQ3,398,5.197e-09,0.07,results_afdb_proteome
Q8DTL9,AF-Q8CYX7-F1-model_v4,Q8CYX7,398,3.425e-08,0.034,results_afdb_proteome
Q8DUU8,AF-Q9C7I8-F1-model_v4,Q9C7I8,391,8.602e-08,0.045,results_afdb_proteome
Q8DWK9,AF-A0A0R4IN62-F1-model_v4,A0A0R4IN62,384,2.892e-08,0.092,results_afdb_proteome
Q8DU47,AF-K0EQN4-F1-model_v4,K0EQN4,381,1.076e-08,0.096,results_afdb_proteome
I6L8Z9,AF-A0A132P333-F1-model_v4,A0A132P333,381,1.376e-07,0.062,results_afdb_proteome
Q8DV93,AF-A2AQW0-F1-model_v4,A2AQW0,377,1.12e-05,0.086,results_afdb_proteome
Q8DTL5,AF-A0A044RK28-F1-model_v4,A0A044RK28,376,9.626e-08,0.064,results_afdb_proteome
Q8DSE2,AF-Q8CZ91-F1-model_v4,Q8CZ91,371,2.021e-06,0.095,results_afdb_proteome
Q8DT97,AF-Q8DP06-F1-model_v4,Q8DP06,369,2.416e-07,0.079,results_afdb_proteome
Q8DTN3,AF-Q0PAC9-F1-model_v4,Q0PAC9,364,4.963e-06,0.061,results_afdb_proteome
Q8DTG7,AF-U7PZD3-F1-model_v4,U7PZD3,364,1.67e-07,0.084,results_afdb_proteome
Q8DTB5,AF-P33354-F1-model_v4,P33354,363,4.397e-07,0.097,results_afdb_proteome
Q8DST0,AF-P9WFN1-F1-model_v4,P9WFN1,362,7.722e-07,0.03,results_afdb_proteome
Q8DVA7,AF-A0A132ZFA3-F1-model_v4,A0A132ZFA3,356,1.661e-06,0.082,results_afdb_proteome
Q8DW27,AF-Q86HF1-F1-model_v4,Q86HF1,354,3.693e-07,0.082,results_afdb_proteome
Q8DSK8,AF-Q2FXD2-F1-model_v4,Q2FXD2,351,4.783e-06,0.065,results_afdb_proteome
Q8DS91,AF-Q8CY88-F1-model_v4,Q8CY88,350,9.629e-07,0.086,results_afdb_proteome
Q8DVN6,AF-K0EQX2-F1-model_v4,K0EQX2,347,1.564e-06,0.07,results_afdb_proteome
Q8DSS8,AF-A0A0H3GU03-F1-model_v4,A0A0H3GU03,347,4.659e-08,0.085,results_afdb_proteome
Q8DTS0,AF-O53701-F1-model_v4,O53701,344,5.438e-07,0.044,results_afdb_proteome
Q8DUR8,AF-K0EN63-F1-model_v4,K0EN63,342,0.0001086,0.089,results_afdb_proteome
Q8DU77,AF-Q8DRF2-F1-model_v4,Q8DRF2,341,2.66e-06,0.102,results_afdb_proteome
Q8DU42,AF-A0A077ZHJ6-F1-model_v4,A0A077ZHJ6,341,2.773e-07,0.052,results_afdb_proteome
Q8DTB8,AF-A0A0H3GT98-F1-model_v4,A0A0H3GT98,340,7.078e-07,0.1,results_afdb_proteome
Q8DTU3,AF-A0A0H3H1Q8-F1-model_v4,A0A0H3H1Q8,339,1.459e-07,0.044,results_afdb_proteome
Q8DRX3,AF-A0A133CZN9-F1-model_v4,A0A133CZN9,337,9.3e-08,0.118,results_afdb_proteome
Q8DWI3,AF-Q8DNA4-F1-model_v4,Q8DNA4,337,5.992e-08,0.027,results_afdb_proteome
Q8DWI2,AF-Q8CY89-F1-model_v4,Q8CY89,337,6.105e-06,0.033,results_afdb_proteome
I6L913,AF-Q8DPW0-F1-model_v4,Q8DPW0,336,1.804e-07,0.093,results_afdb_proteome
Q8DV03,AF-Q8CYP6-F1-model_v4,Q8CYP6,335,6.556e-06,0.053,results_afdb_proteome
Q8DTW4,AF-Q5F9W5-F1-model_v4,Q5F9W5,331,8.772e-07,0.07,results_afdb_proteome
Q8DVT6,AF-Q8DPX5-F1-model_v4,Q8DPX5,330,0.0002206,0.076,results_afdb_proteome
Q8DV58,AF-Q8DPC6-F1-model_v4,Q8DPC6,329,2.176e-05,0.049,results_afdb_proteome
Q8DTS4,AF-A0A0H3GXI9-F1-model_v4,A0A0H3GXI9,320,2.003e-06,0.07,results_afdb_proteome
Q8DSZ7,AF-K0EVH0-F1-model_v4,K0EVH0,316,3.997e-06,0.08,results_afdb_proteome
Q8DSQ8,AF-Q9I2P1-F1-model_v4,Q9I2P1,313,2.814e-07,0.09,results_afdb_proteome
Q8DSY9,AF-O53728-F1-model_v4,O53728,309,3.563e-05,0.095,results_afdb_proteome
Q8DS60,AF-Q8DR93-F1-model_v4,Q8DR93,309,0.0001492,0.074,results_afdb_proteome
Q8DVG2,AF-Q5F7E4-F1-model_v4,Q5F7E4,309,7.895e-07,0.097,results_afdb_proteome
Q8DVE7,AF-A0A132P9D2-F1-model_v4,A0A132P9D2,308,5.762e-07,0.08,results_afdb_proteome
Q8DWN3,AF-Q2G0R5-F1-model_v4,Q2G0R5,307,9.045e-07,0.168,results_afdb_proteome
Q8DSE8,AF-A0A133CZC6-F1-model_v4,A0A133CZC6,305,1.131e-06,0.105,results_afdb_proteome
Q8DT83,AF-Q8CZ86-F1-model_v4,Q8CZ86,305,2.985e-06,0.092,results_afdb_proteome
I6L909,AF-Q54RC7-F1-model_v4,Q54RC7,304,1.541e-06,0.048,results_afdb_proteome
Q8DUZ2,AF-X8FGG6-F1-model_v4,X8FGG6,301,4.096e-06,0.079,results_afdb_proteome
Q8DTF7,AF-Q8CYI1-F1-model_v4,Q8CYI1,298,0.0004178,0.078,results_afdb_proteome
Q8DSB9,AF-Q8DR21-F1-model_v4,Q8DR21,297,2.2e-05,0.072,results_afdb_proteome
Q8DTD7,AF-A0A132ZI97-F1-model_v4,A0A132ZI97,294,0.0001881,0.095,results_afdb_proteome
Q8DW34,AF-Q8CZ59-F1-model_v4,Q8CZ59,293,0.0003449,0.076,results_afdb_proteome
Q8DTS8,AF-A0A1X4JAY7-F1-model_v4,A0A1X4JAY7,293,3.515e-05,0.117,results_afdb_proteome
Q8DSQ1,AF-A0A132Z245-F1-model_v4,A0A132Z245,289,0.0003344,0.071,results_afdb_proteome
Q8DSM0,AF-Q8ZME9-F1-model_v4,Q8ZME9,286,1.762e-05,0.1,results_afdb_proteome
Q8DRQ8,AF-Q9I6N4-F1-model_v4,Q9I6N4,286,0.0008211,0.118,results_afdb_proteome
Q8DVG9,AF-A0A133CNJ4-F1-model_v4,A0A133CNJ4,285,1.216e-05,0.064,results_afdb_proteome
Q8DVG0,AF-A0A133CVB0-F1-model_v4,A0A133CVB0,284,0.0008191,0.085,results_afdb_proteome
Q8DRT6,AF-A0A133CI12-F1-model_v4,A0A133CI12,284,2.046e-06,0.044,results_afdb_proteome
Q8DVI6,AF-A0A044VBR3-F1-model_v4,A0A044VBR3,279,0.0001045,0.081,results_afdb_proteome
Q8DT20,AF-Q2FY50-F1-model_v4,Q2FY50,278,3.81e-05,0.089,results_afdb_proteome
Q8DV46,AF-Q8ZNB3-F1-model_v4,Q8ZNB3,277,0.0006109,0.104,results_afdb_proteome
Q8DUY9,AF-Q4CL75-F1-model_v4,Q4CL75,275,0.0006711,0.077,results_afdb_proteome
Q8DSA4,AF-Q6H7D0-F1-model_v4,Q6H7D0,275,9.982e-06,0.145,results_afdb_proteome
Q8DTX0,AF-A0A132P557-F1-model_v4,A0A132P557,272,0.0008158,0.088,results_afdb_proteome
Q8DRU3,AF-A0A0H3GXA0-F1-model_v4,A0A0H3GXA0,271,1.137e-05,0.085,results_afdb_proteome
Q8DUE8,AF-Q2G0D4-F1-model_v4,Q2G0D4,269,7.673e-05,0.075,results_afdb_proteome
Q8DTZ9,AF-A0A132P1Y1-F1-model_v4,A0A132P1Y1,264,0.0002375,0.088,results_afdb_proteome
Q8DSI5,AF-A0A133CHH5-F1-model_v4,A0A133CHH5,262,7.892e-06,0.029,results_afdb_proteome
Q8DRS2,AF-A0A132ZAT6-F1-model_v4,A0A132ZAT6,261,2.038e-05,0.077,results_afdb_proteome
